name,description,url_image,animal_species,brand,stock,price,discount,category
"Comida Esterilizada para Perros","Comida de alta calidad para perros esterilizados de todas las razas","https://famouspets.com.cy/1191-medium_default/royal-canin-medium-sterilized-adult-dry-dog-food.jpg","Perro","Nature's Variety",100,29.99,0.00,"Food"
"Comida Esterilizada para Gatos","Comida nutritiva para gatos esterilizados y saludables","https://m.media-amazon.com/images/I/61E-7oEzeoS.jpg","Gato","Wellness Core",50,24.99,0.00,"Food"
"Comida para Cachorros","Alimento especialmente formulado para cachorros","https://aller-petfood.com/wp-content/uploads/2017/09/ALL_Puppies.jpg","Perro","Royal Canin",200,34.99,0.00,"Food"
"Comida para Gatitos","Nutrición equilibrada para gatitos","https://shop.smucker.com/cdn/shop/files/wcwst1hk2xnhx9tonxm9.jpg?v=1702052831&width=1920","Gato","Hill's Science Diet",150,29.99,0.00,"Food"
"Juguete de Goma para Masticar","Juguete de goma duradero para que los perros mastiquen","https://m.media-amazon.com/images/I/612z2jEDFTL.jpg","Perro","KONG",300,12.99,0.10,"Toys"
"Ratón de Catnip","Juguete con forma de ratón relleno de catnip para gatos","https://www.pawsomecouture.com/cdn/shop/products/magicalmice.jpg?v=1599542929","Gato","Petstages",250,7.99,0.15,"Toys"
"Correa para Perros","Correa fuerte y duradera para pasear perros","https://m.media-amazon.com/images/I/61hJF6WtWTL.jpg","Perro","Flexi",100,19.99,0.05,"Toys"
"Rascador para Gatos","Rascador compacto para gatos","https://catfriendly.com/wp-content/uploads/2021/07/scratching-post.jpg","Gato","Frisco",75,39.99,0.20,"Toys"
"Lanzador de Pelotas para Perros","Lanzador interactivo de pelotas para perros","https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/1056794-left-2","Perro","Chuckit!",120,24.99,0.00,"Toys"
"Varita de Plumas para Gatos","Varita interactiva con plumas para gatos","https://m.media-amazon.com/images/I/615Ccf+wziL.jpg","Gato","GoCat",200,9.99,0.10,"Toys"
"Arnés para Perros","Arnés cómodo y ajustable para perros","https://cdn.reddingo.es/media/mf_webp/jpg/media/catalog/product/cache/c242852b69642886958102ebeb0e83fa/DH-PH-GY.webp","Perro","Ruffwear",80,49.99,0.05,"Toys"
"Alfombrilla para Arena de Gato","Alfombrilla para evitar que la arena se esparza","assets/pajaro.jpg","Gato","PetFusion",60,19.99,0.00,"Toys"
"Comida para Pájaros","Mezcla de semillas y nutrientes para pájaros domésticos","https://www.zooplus.es/magazine/wp-content/uploads/2019/03/comida-para-pajaros.jpg","Pájaro","Vitakraft",120,8.99,0.00,"Food"
"Bañera para Pájaros","Bañera de plástico para jaulas de pájaros","https://www.tiendanimal.es/articulos/wp-content/uploads/2016/11/banera-pajaros.jpg","Pájaro","Trixie",80,6.99,0.00,"Toys"
"Juguete de Espejo para Pájaros","Juguete con espejo para estimular a los pájaros","https://www.miscota.es/blog/wp-content/uploads/2016/07/juguetes-pajaros.jpg","Pájaro","Ferplast",150,4.99,0.10,"Toys"
"Jaula para Pájaros Pequeños","Jaula espaciosa para canarios y periquitos","https://www.kiwoko.com/on/demandware.static/-/Sites-kiwoko-master-catalog/default/dw6e5e7e7e/images/large/1000000001.jpg","Pájaro","Imac",40,49.99,0.15,"Toys"
"Comida para Hámster","Alimento completo para hámsteres","https://www.tiendanimal.es/articulos/wp-content/uploads/2016/11/comida-hamster.jpg","Hámster","Versele-Laga",90,5.99,0.00,"otrosAnimales"
"Rueda para Hámster","Rueda silenciosa para ejercicio de hámsteres","https://www.tiendanimal.es/articulos/wp-content/uploads/2016/11/rueda-hamster.jpg","Hámster","Trixie",60,7.99,0.10,"otrosAnimales"
"Terrario para Reptiles","Terrario de cristal para reptiles pequeños","https://www.tiendanimal.es/articulos/wp-content/uploads/2016/11/terrario-reptiles.jpg","Reptil","Exo Terra",20,89.99,0.00,"otrosAnimales"
"Lámpara UVB para Reptiles","Lámpara UVB esencial para reptiles","https://www.tiendanimal.es/articulos/wp-content/uploads/2016/11/lampara-reptiles.jpg","Reptil","Arcadia",35,24.99,0.05,"otrosAnimales"
"Comida para Cobayas","Alimento rico en fibra para cobayas","https://www.tiendanimal.es/articulos/wp-content/uploads/2016/11/comida-cobayas.jpg","Cobaya","Vitakraft",70,6.99,0.00,"otrosAnimales"
"Bebedero para Roedores","Bebedero de botella para jaulas de roedores","assets/img/comida.jpg","Roedor","Ferplast",100,3.99,0.00,"otrosAnimales"
